No,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
42,32,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,314,1,999,0,nonexistent,no
43,38,admin.,single,professional.course,no,no,no,telephone,may,mon,160,1,999,0,nonexistent,no
44,57,admin.,married,university.degree,no,no,yes,telephone,may,mon,212,1,999,0,nonexistent,no
45,44,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,188,1,999,0,nonexistent,no
46,42,technician,single,professional.course,unknown,no,no,telephone,may,mon,22,1,999,0,nonexistent,no
47,57,admin.,married,university.degree,no,yes,yes,telephone,may,mon,616,1,999,0,nonexistent,no
48,40,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,178,1,999,0,nonexistent,no
49,35,admin.,married,university.degree,no,yes,no,telephone,may,mon,355,1,999,0,nonexistent,no
50,45,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,225,2,999,0,nonexistent,no
51,54,admin.,married,high.school,no,no,no,telephone,may,mon,160,1,999,0,nonexistent,no
52,39,housemaid,married,basic.4y,no,no,yes,telephone,may,mon,266,1,999,0,nonexistent,no
53,60,admin.,married,high.school,no,no,no,telephone,may,mon,253,1,999,0,nonexistent,no
54,53,admin.,single,professional.course,no,no,no,telephone,may,mon,179,1,999,0,nonexistent,no
55,55,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,269,2,999,0,nonexistent,no
56,55,technician,married,professional.course,unknown,yes,no,telephone,may,mon,135,1,999,0,nonexistent,no
57,50,management,married,university.degree,unknown,no,yes,telephone,may,mon,161,1,999,0,nonexistent,no
58,45,services,married,high.school,unknown,yes,no,telephone,may,mon,787,1,999,0,nonexistent,no
59,55,unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,145,1,999,0,nonexistent,no
60,25,technician,single,university.degree,no,yes,no,telephone,may,mon,174,1,999,0,nonexistent,no
61,47,entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,449,1,999,0,nonexistent,no
62,51,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,812,1,999,0,nonexistent,no
63,42,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,164,1,999,0,nonexistent,no
64,42,blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,366,1,999,0,nonexistent,no
65,48,admin.,married,high.school,no,no,no,telephone,may,mon,357,1,999,0,nonexistent,no
66,37,admin.,married,university.degree,no,no,no,telephone,may,mon,232,1,999,0,nonexistent,no
67,44,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,91,1,999,0,nonexistent,no
68,33,admin.,married,unknown,no,yes,no,telephone,may,mon,273,1,999,0,nonexistent,no
69,56,admin.,married,basic.9y,no,yes,no,telephone,may,mon,158,2,999,0,nonexistent,no
70,44,blue-collar,single,basic.4y,unknown,yes,yes,telephone,may,mon,177,1,999,0,nonexistent,no
71,41,management,married,basic.6y,no,no,no,telephone,may,mon,200,1,999,0,nonexistent,no
72,44,management,divorced,university.degree,no,yes,no,telephone,may,mon,172,1,999,0,nonexistent,no
73,47,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,176,1,999,0,nonexistent,no
74,57,unknown,married,unknown,unknown,no,no,telephone,may,mon,211,1,999,0,nonexistent,no
75,37,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,214,1,999,0,nonexistent,no
76,41,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,1575,1,999,0,nonexistent,yes
84,49,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,1042,1,999,0,nonexistent,yes
89,49,technician,married,basic.9y,no,no,no,telephone,may,mon,1467,1,999,0,nonexistent,yes
130,41,technician,married,professional.course,unknown,yes,no,telephone,may,mon,579,1,999,0,nonexistent,yes
140,45,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,461,1,999,0,nonexistent,yes
183,42,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,673,2,999,0,nonexistent,yes
287,39,housemaid,married,basic.9y,no,yes,no,telephone,may,mon,935,3,999,0,nonexistent,yes
389,28,unknown,single,unknown,unknown,yes,yes,telephone,may,tue,1201,1,999,0,nonexistent,yes
390,44,services,married,high.school,no,yes,no,telephone,may,tue,1030,1,999,0,nonexistent,yes
447,42,technician,married,professional.course,no,no,no,telephone,may,tue,1623,1,999,0,nonexistent,yes
470,42,management,married,university.degree,no,no,no,telephone,may,tue,1677,1,999,0,nonexistent,yes
505,39,services,married,high.school,unknown,yes,no,telephone,may,tue,918,1,999,0,nonexistent,yes
557,42,blue-collar,married,high.school,no,no,yes,telephone,may,tue,1297,3,999,0,nonexistent,yes
682,45,housemaid,married,professional.course,unknown,yes,no,telephone,may,tue,1597,2,999,0,nonexistent,yes
821,31,admin.,single,university.degree,no,no,no,telephone,may,wed,992,1,999,0,nonexistent,yes
833,28,student,single,basic.9y,unknown,yes,yes,telephone,may,wed,732,2,999,0,nonexistent,yes
857,41,entrepreneur,married,university.degree,no,yes,no,telephone,may,wed,1138,1,999,0,nonexistent,yes
871,37,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,wed,591,1,999,0,nonexistent,yes
877,44,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,786,1,999,0,nonexistent,yes
1079,44,entrepreneur,married,basic.4y,unknown,no,no,telephone,may,wed,1574,2,999,0,nonexistent,yes
1115,54,admin.,divorced,university.degree,no,no,no,telephone,may,wed,1689,4,999,0,nonexistent,yes
1167,42,services,married,professional.course,no,yes,no,telephone,may,thu,813,1,999,0,nonexistent,yes
1190,46,blue-collar,single,basic.9y,no,yes,no,telephone,may,thu,541,3,999,0,nonexistent,yes
1234,32,blue-collar,married,professional.course,no,no,no,telephone,may,thu,1119,1,999,0,nonexistent,yes
1257,43,technician,single,university.degree,no,yes,no,telephone,may,thu,1120,2,999,0,nonexistent,yes
1320,54,admin.,married,university.degree,no,no,no,telephone,may,thu,513,1,999,0,nonexistent,yes
1349,50,technician,married,high.school,no,yes,no,telephone,may,thu,756,1,999,0,nonexistent,yes
1397,31,services,married,basic.6y,no,no,no,telephone,may,thu,2087,2,999,0,nonexistent,yes
1443,51,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,thu,1178,2,999,0,nonexistent,yes
1445,31,entrepreneur,divorced,high.school,no,yes,no,telephone,may,thu,1120,2,999,0,nonexistent,yes
1502,41,services,divorced,high.school,no,yes,no,telephone,may,thu,985,2,999,0,nonexistent,yes
1609,32,unknown,unknown,university.degree,no,no,no,telephone,may,fri,617,4,999,0,nonexistent,yes
1614,33,services,married,high.school,unknown,no,no,telephone,may,fri,483,3,999,0,nonexistent,yes
1633,38,management,married,basic.9y,unknown,no,no,telephone,may,fri,772,1,999,0,nonexistent,yes
1637,60,housemaid,married,high.school,unknown,no,no,telephone,may,fri,929,3,999,0,nonexistent,yes
1656,35,blue-collar,married,professional.course,no,yes,yes,telephone,may,fri,710,1,999,0,nonexistent,yes
1692,33,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,fri,1132,2,999,0,nonexistent,yes
1726,51,blue-collar,married,basic.9y,no,no,yes,telephone,may,fri,653,1,999,0,nonexistent,yes
1764,24,services,single,high.school,no,yes,no,telephone,may,fri,654,1,999,0,nonexistent,yes
1792,32,admin.,married,university.degree,no,no,yes,telephone,may,fri,1692,2,999,0,nonexistent,yes
1810,43,admin.,married,university.degree,unknown,yes,no,telephone,may,fri,2016,2,999,0,nonexistent,yes
1820,44,blue-collar,single,basic.6y,unknown,yes,no,telephone,may,fri,665,2,999,0,nonexistent,yes
2003,59,management,married,university.degree,no,no,no,telephone,may,mon,460,5,999,0,nonexistent,yes
2040,24,services,single,high.school,no,no,no,telephone,may,mon,757,2,999,0,nonexistent,yes
2065,39,admin.,married,university.degree,no,no,no,telephone,may,mon,744,6,999,0,nonexistent,yes
2105,41,admin.,single,unknown,no,yes,yes,telephone,may,mon,1111,3,999,0,nonexistent,yes
2258,39,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,504,4,999,0,nonexistent,yes
2276,32,admin.,single,university.degree,unknown,no,no,telephone,may,tue,1346,1,999,0,nonexistent,yes
2306,33,management,married,basic.4y,no,yes,yes,telephone,may,tue,568,4,999,0,nonexistent,yes
2316,38,management,married,basic.9y,no,yes,no,telephone,may,tue,1000,1,999,0,nonexistent,yes
2317,35,admin.,single,high.school,no,yes,yes,telephone,may,tue,618,1,999,0,nonexistent,yes
2331,38,blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,2231,1,999,0,nonexistent,yes
2407,38,blue-collar,single,university.degree,unknown,yes,no,telephone,may,tue,395,2,999,0,nonexistent,yes
2418,38,technician,single,university.degree,no,no,no,telephone,may,tue,1015,1,999,0,nonexistent,yes
2422,30,technician,married,university.degree,no,yes,no,telephone,may,tue,683,2,999,0,nonexistent,yes
2425,51,admin.,single,basic.6y,no,no,no,telephone,may,tue,470,1,999,0,nonexistent,yes
2445,31,services,married,basic.6y,unknown,no,no,telephone,may,tue,1001,4,999,0,nonexistent,yes
2450,45,technician,married,university.degree,no,yes,yes,telephone,may,tue,845,1,999,0,nonexistent,yes
2474,36,admin.,married,high.school,no,no,no,telephone,may,tue,753,6,999,0,nonexistent,yes
2636,31,services,married,basic.9y,no,no,no,telephone,may,tue,945,2,999,0,nonexistent,yes
2646,45,entrepreneur,married,university.degree,no,yes,no,telephone,may,tue,1721,2,999,0,nonexistent,yes
2685,51,admin.,married,basic.4y,unknown,yes,no,telephone,may,wed,942,3,999,0,nonexistent,yes
2698,38,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,wed,476,1,999,0,nonexistent,yes
2714,41,technician,married,high.school,no,yes,no,telephone,may,wed,832,1,999,0,nonexistent,yes
2745,27,admin.,single,high.school,no,yes,no,telephone,may,wed,1328,1,999,0,nonexistent,yes
2756,37,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,1125,2,999,0,nonexistent,yes
2764,33,unemployed,divorced,basic.9y,no,no,no,telephone,may,wed,1321,2,999,0,nonexistent,yes
2776,33,blue-collar,married,high.school,no,no,no,telephone,may,wed,858,1,999,0,nonexistent,yes
2780,35,student,married,university.degree,no,yes,no,telephone,may,wed,629,2,999,0,nonexistent,yes
2854,40,blue-collar,married,high.school,no,no,no,telephone,may,wed,1028,2,999,0,nonexistent,yes
2906,40,blue-collar,married,basic.6y,no,yes,no,telephone,may,wed,927,1,999,0,nonexistent,yes
3048,36,technician,married,professional.course,no,no,no,telephone,may,wed,1423,3,999,0,nonexistent,yes
3091,35,housemaid,married,basic.4y,no,no,no,telephone,may,thu,646,3,999,0,nonexistent,yes
3114,32,services,married,basic.9y,no,no,no,telephone,may,thu,746,1,999,0,nonexistent,yes
3175,42,services,divorced,basic.6y,no,yes,no,telephone,may,thu,1074,1,999,0,nonexistent,yes
3184,45,admin.,married,high.school,no,yes,no,telephone,may,thu,695,1,999,0,nonexistent,yes
3204,38,services,single,high.school,unknown,no,yes,telephone,may,thu,1257,3,999,0,nonexistent,yes
3220,39,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,651,23,999,0,nonexistent,yes
3224,45,self-employed,married,basic.6y,unknown,no,no,telephone,may,thu,734,1,999,0,nonexistent,yes
3260,49,blue-collar,divorced,basic.4y,unknown,no,no,telephone,may,thu,920,2,999,0,nonexistent,yes
3265,41,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,500,1,999,0,nonexistent,yes
3339,30,admin.,married,university.degree,no,yes,no,telephone,may,thu,911,2,999,0,nonexistent,yes
3382,53,technician,married,professional.course,unknown,yes,no,telephone,may,thu,920,2,999,0,nonexistent,yes
3385,35,technician,married,unknown,unknown,no,no,telephone,may,thu,1224,2,999,0,nonexistent,yes
3396,51,management,married,university.degree,unknown,no,yes,telephone,may,thu,1156,2,999,0,nonexistent,yes
3428,33,blue-collar,divorced,basic.9y,unknown,no,no,telephone,may,thu,1867,6,999,0,nonexistent,yes
3437,44,services,married,high.school,unknown,yes,no,telephone,may,thu,1263,2,999,0,nonexistent,yes
3454,50,blue-collar,married,basic.9y,no,yes,no,telephone,may,thu,697,3,999,0,nonexistent,yes
3507,30,admin.,single,high.school,no,no,yes,telephone,may,thu,892,4,999,0,nonexistent,yes
3542,45,entrepreneur,married,university.degree,no,yes,yes,telephone,may,fri,515,1,999,0,nonexistent,yes
3546,35,admin.,single,high.school,no,no,yes,telephone,may,fri,813,1,999,0,nonexistent,yes
3565,29,blue-collar,single,high.school,no,yes,no,telephone,may,fri,803,1,999,0,nonexistent,yes
3567,44,management,single,university.degree,unknown,yes,no,telephone,may,fri,844,1,999,0,nonexistent,yes
3571,31,blue-collar,married,basic.6y,unknown,unknown,unknown,telephone,may,fri,676,1,999,0,nonexistent,yes
3575,56,blue-collar,married,basic.4y,unknown,yes,yes,telephone,may,fri,1252,1,999,0,nonexistent,yes
3577,45,technician,married,university.degree,no,yes,no,telephone,may,fri,1143,3,999,0,nonexistent,yes
3609,26,blue-collar,single,basic.9y,no,no,no,telephone,may,fri,688,1,999,0,nonexistent,yes
3629,40,entrepreneur,married,university.degree,no,no,no,telephone,may,fri,803,1,999,0,nonexistent,yes
3662,49,admin.,divorced,high.school,no,yes,no,telephone,may,fri,787,1,999,0,nonexistent,yes
3678,26,admin.,single,high.school,no,no,no,telephone,may,fri,619,2,999,0,nonexistent,yes
3686,37,blue-collar,single,basic.9y,unknown,no,no,telephone,may,fri,1230,3,999,0,nonexistent,yes
3694,37,admin.,single,high.school,no,yes,no,telephone,may,fri,912,1,999,0,nonexistent,yes
3698,38,blue-collar,single,university.degree,unknown,no,no,telephone,may,fri,894,1,999,0,nonexistent,yes
3735,51,services,married,basic.6y,no,no,no,telephone,may,fri,1340,1,999,0,nonexistent,yes
3741,46,admin.,divorced,university.degree,no,no,no,telephone,may,fri,897,1,999,0,nonexistent,yes
3775,35,student,single,high.school,no,no,yes,telephone,may,fri,2680,1,999,0,nonexistent,yes
3855,57,services,divorced,high.school,no,yes,yes,telephone,may,fri,1193,5,999,0,nonexistent,yes
3888,28,blue-collar,married,basic.9y,no,no,yes,telephone,may,fri,1064,4,999,0,nonexistent,yes
3940,47,management,married,basic.4y,unknown,no,no,telephone,may,mon,882,1,999,0,nonexistent,yes
3980,57,technician,married,professional.course,no,yes,no,telephone,may,mon,483,2,999,0,nonexistent,yes
3989,45,blue-collar,married,unknown,no,yes,yes,telephone,may,mon,943,2,999,0,nonexistent,yes
4035,48,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,607,1,999,0,nonexistent,yes
4051,28,services,married,high.school,no,no,no,telephone,may,mon,1022,4,999,0,nonexistent,yes
4111,38,services,married,high.school,no,yes,no,telephone,may,mon,552,3,999,0,nonexistent,yes
4153,34,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1622,2,999,0,nonexistent,yes
4165,52,services,married,high.school,unknown,yes,no,telephone,may,mon,967,6,999,0,nonexistent,yes
4168,52,services,divorced,high.school,no,no,no,telephone,may,mon,579,5,999,0,nonexistent,yes
4210,33,technician,divorced,professional.course,no,no,no,telephone,may,mon,1218,3,999,0,nonexistent,yes
4253,32,services,single,basic.6y,no,no,yes,telephone,may,tue,1205,1,999,0,nonexistent,yes
4265,31,blue-collar,single,high.school,no,no,no,telephone,may,tue,1882,2,999,0,nonexistent,yes
4269,47,blue-collar,married,unknown,unknown,no,no,telephone,may,tue,1334,1,999,0,nonexistent,yes
4295,53,blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,182,2,999,0,nonexistent,yes
4354,35,services,single,basic.4y,no,yes,no,telephone,may,tue,1777,1,999,0,nonexistent,yes
4480,58,retired,married,basic.4y,unknown,no,no,telephone,may,tue,1045,1,999,0,nonexistent,yes
4486,39,blue-collar,single,basic.9y,no,no,no,telephone,may,tue,650,3,999,0,nonexistent,yes
4523,27,blue-collar,married,basic.6y,unknown,unknown,unknown,telephone,may,tue,1063,2,999,0,nonexistent,yes
4610,42,admin.,married,high.school,no,no,no,telephone,may,tue,1392,2,999,0,nonexistent,yes
4624,55,technician,married,high.school,no,yes,no,telephone,may,tue,719,1,999,0,nonexistent,yes
4636,49,housemaid,married,basic.4y,unknown,no,yes,telephone,may,wed,801,1,999,0,nonexistent,yes
4653,42,admin.,single,university.degree,no,yes,yes,telephone,may,wed,938,1,999,0,nonexistent,yes
4673,45,admin.,single,professional.course,no,yes,no,telephone,may,wed,565,1,999,0,nonexistent,yes
4678,59,retired,married,professional.course,unknown,no,no,telephone,may,wed,905,1,999,0,nonexistent,yes
4695,54,blue-collar,married,basic.9y,unknown,no,no,telephone,may,wed,783,2,999,0,nonexistent,yes
4721,55,technician,married,basic.9y,unknown,yes,no,telephone,may,wed,958,2,999,0,nonexistent,yes
4738,30,admin.,single,university.degree,no,no,no,telephone,may,wed,819,1,999,0,nonexistent,yes
4753,35,technician,single,university.degree,no,yes,no,telephone,may,wed,412,1,999,0,nonexistent,yes
4770,31,blue-collar,married,basic.6y,no,no,yes,telephone,may,wed,795,1,999,0,nonexistent,yes
4794,36,admin.,single,professional.course,no,yes,yes,telephone,may,wed,828,4,999,0,nonexistent,yes
4852,46,housemaid,married,basic.4y,no,no,no,telephone,may,wed,506,2,999,0,nonexistent,yes
4873,32,technician,single,university.degree,unknown,no,no,telephone,may,wed,857,1,999,0,nonexistent,yes
4881,25,blue-collar,single,basic.4y,no,yes,no,telephone,may,wed,1681,1,999,0,nonexistent,yes
4900,45,admin.,divorced,university.degree,no,no,no,telephone,may,wed,681,3,999,0,nonexistent,yes
4903,56,entrepreneur,married,university.degree,no,no,yes,telephone,may,wed,1697,2,999,0,nonexistent,yes
4905,30,admin.,single,high.school,no,no,no,telephone,may,wed,860,2,999,0,nonexistent,yes
4983,44,blue-collar,divorced,unknown,no,yes,yes,telephone,may,wed,799,1,999,0,nonexistent,yes
5008,32,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,923,3,999,0,nonexistent,yes
5028,37,services,married,high.school,no,yes,yes,telephone,may,wed,521,3,999,0,nonexistent,yes
5057,58,admin.,divorced,university.degree,no,yes,no,telephone,may,fri,628,2,999,0,nonexistent,yes
5074,35,services,married,high.school,no,no,no,telephone,may,fri,1349,5,999,0,nonexistent,yes
5085,49,technician,married,professional.course,no,no,no,telephone,may,fri,736,2,999,0,nonexistent,yes
5108,38,technician,married,basic.6y,unknown,no,no,telephone,may,fri,785,1,999,0,nonexistent,yes
5113,22,blue-collar,single,basic.6y,unknown,no,yes,telephone,may,fri,1073,1,999,0,nonexistent,yes
5163,47,blue-collar,married,basic.6y,no,yes,no,telephone,may,fri,600,1,999,0,nonexistent,yes
5175,55,retired,married,high.school,no,no,no,telephone,may,fri,924,1,999,0,nonexistent,yes
5330,50,technician,married,high.school,no,yes,no,telephone,may,fri,893,3,999,0,nonexistent,yes
5348,32,admin.,single,university.degree,no,no,no,telephone,may,fri,588,3,999,0,nonexistent,yes
5364,33,services,single,high.school,no,no,no,telephone,may,fri,777,2,999,0,nonexistent,yes
5385,60,retired,married,high.school,unknown,yes,no,telephone,may,fri,597,6,999,0,nonexistent,yes
5416,46,blue-collar,married,basic.4y,no,yes,no,telephone,may,fri,1392,2,999,0,nonexistent,yes
5436,39,technician,single,professional.course,no,no,no,telephone,may,fri,1059,5,999,0,nonexistent,yes
5443,39,services,married,high.school,no,yes,no,telephone,may,fri,430,6,999,0,nonexistent,yes
5551,33,blue-collar,single,basic.9y,unknown,no,yes,telephone,may,mon,788,11,999,0,nonexistent,yes
5614,56,blue-collar,married,professional.course,no,yes,no,telephone,may,mon,621,4,999,0,nonexistent,yes
5620,58,admin.,single,university.degree,no,no,no,telephone,may,mon,543,2,999,0,nonexistent,yes
5637,44,management,single,university.degree,unknown,yes,no,telephone,may,mon,745,4,999,0,nonexistent,yes
5639,29,student,single,high.school,no,no,yes,telephone,may,mon,630,1,999,0,nonexistent,yes
5653,41,services,married,high.school,unknown,yes,no,telephone,may,mon,679,2,999,0,nonexistent,yes
5700,58,admin.,single,university.degree,no,no,no,telephone,may,mon,1234,3,999,0,nonexistent,yes
5708,43,entrepreneur,married,high.school,no,yes,yes,telephone,may,mon,642,2,999,0,nonexistent,yes
5732,41,unemployed,married,basic.9y,unknown,yes,yes,telephone,may,mon,895,4,999,0,nonexistent,yes
5781,39,management,married,university.degree,no,no,no,telephone,may,mon,431,2,999,0,nonexistent,yes
5785,25,blue-collar,married,high.school,unknown,yes,yes,telephone,may,mon,741,6,999,0,nonexistent,yes
5819,38,self-employed,single,university.degree,no,no,no,telephone,may,mon,414,2,999,0,nonexistent,yes
5851,52,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,748,3,999,0,nonexistent,yes
5853,28,entrepreneur,married,basic.9y,no,no,no,telephone,may,mon,896,3,999,0,nonexistent,yes
5864,24,admin.,married,basic.9y,no,yes,no,telephone,may,mon,764,2,999,0,nonexistent,yes
5949,45,services,divorced,unknown,no,yes,no,telephone,may,tue,1063,5,999,0,nonexistent,yes
5979,42,services,married,professional.course,no,yes,no,telephone,may,tue,1205,1,999,0,nonexistent,yes
5999,29,technician,single,university.degree,no,yes,no,telephone,may,tue,1051,1,999,0,nonexistent,yes
6019,34,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,740,1,999,0,nonexistent,yes
6105,47,admin.,married,high.school,no,no,no,telephone,may,tue,731,3,999,0,nonexistent,yes
6144,31,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,935,1,999,0,nonexistent,yes
6165,39,management,single,university.degree,no,yes,no,telephone,may,tue,751,1,999,0,nonexistent,yes
6214,52,management,married,professional.course,no,yes,no,telephone,may,tue,709,1,999,0,nonexistent,yes
6281,30,self-employed,married,basic.9y,no,no,no,telephone,may,tue,3094,2,999,0,nonexistent,yes
6363,45,blue-collar,married,basic.6y,unknown,no,no,telephone,may,tue,858,6,999,0,nonexistent,yes
6434,52,admin.,divorced,university.degree,no,yes,no,telephone,may,wed,938,2,999,0,nonexistent,yes
6467,34,blue-collar,single,basic.9y,unknown,no,no,telephone,may,wed,576,3,999,0,nonexistent,yes
6521,57,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,wed,543,2,999,0,nonexistent,yes
6532,34,blue-collar,married,basic.9y,no,yes,yes,telephone,may,wed,1479,4,999,0,nonexistent,yes
6586,40,admin.,married,university.degree,no,yes,no,telephone,may,wed,615,2,999,0,nonexistent,yes
6606,50,services,married,basic.4y,unknown,yes,no,telephone,may,wed,507,1,999,0,nonexistent,yes
6607,33,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,1183,1,999,0,nonexistent,yes
6630,25,unemployed,single,high.school,unknown,no,no,telephone,may,wed,694,2,999,0,nonexistent,yes
6649,54,technician,married,professional.course,no,no,no,telephone,may,wed,796,1,999,0,nonexistent,yes
6663,33,admin.,married,university.degree,no,no,no,telephone,may,wed,664,2,999,0,nonexistent,yes
6679,41,management,married,basic.6y,no,yes,no,telephone,may,wed,648,1,999,0,nonexistent,yes
6696,53,technician,married,professional.course,unknown,no,no,telephone,may,wed,864,2,999,0,nonexistent,yes
6739,54,retired,married,basic.4y,unknown,no,no,telephone,may,wed,1730,1,999,0,nonexistent,yes
6763,30,management,single,university.degree,no,no,yes,telephone,may,wed,691,5,999,0,nonexistent,yes
6861,59,retired,married,professional.course,no,no,no,telephone,may,wed,560,9,999,0,nonexistent,yes
6902,39,admin.,married,university.degree,no,yes,no,telephone,may,thu,543,1,999,0,nonexistent,yes
6938,40,technician,married,basic.9y,unknown,yes,no,telephone,may,thu,539,1,999,0,nonexistent,yes
6960,28,entrepreneur,married,basic.9y,unknown,yes,no,telephone,may,thu,733,1,999,0,nonexistent,yes
6968,38,technician,divorced,professional.course,no,yes,no,telephone,may,thu,1093,1,999,0,nonexistent,yes
6983,34,services,married,high.school,no,no,no,telephone,may,thu,791,2,999,0,nonexistent,yes
